URL,Address,Title
https://sfbay.craigslist.org/sfc/roo/6175541520.html,excelsior / outer mission,Room for Lease in Penthouse Condo
https://sfbay.craigslist.org/sfc/roo/6175540632.html,financial district,$1375 Embarcadero 2B2B Master bedroom
https://sfbay.craigslist.org/sfc/roo/6158327367.html,SOMA / south beach,2 BEDROOMS AVAILABLE in 3 BR/3 BA/3 FL SOMA LOFT
https://sfbay.craigslist.org/sfc/roo/6161250945.html,SOMA / south beach,Private Pet Friendly 1BR in 3BR Modern SOMA Apartment
https://sfbay.craigslist.org/sfc/roo/6170814653.html,bernal heights,Sublet room in a big cozy house 1500 all included
https://sfbay.craigslist.org/sfc/roo/6160436101.html,mission district,1 year lease in a LUXURY complex
https://sfbay.craigslist.org/sfc/roo/6175455118.html,castro / upper market,1 Bedroom in 3bd/1ba Available
https://sfbay.craigslist.org/sfc/roo/6160862578.html,nob hill,Bedroom for rent $1350/mo in 2 Bedroom Flat
https://sfbay.craigslist.org/sfc/roo/6175515035.html,richmond / seacliff,Seeking roommate for spacious bedroom in 4br/2bth ready for move in
https://sfbay.craigslist.org/sfc/roo/6175455509.html,SOMA / south beach,Room available across from AT&T Park (AVAILABLE NOW)
https://sfbay.craigslist.org/sfc/roo/6166821463.html,lower pac hts,____Wonderful room to share with the right creative person
https://sfbay.craigslist.org/sfc/roo/6163636624.html,cole valley / ashbury hts,"-Apartment in Outstanding Location with Large, Furnished Bedroom-"
https://sfbay.craigslist.org/sfc/roo/6166278252.html,glen park,1 Private Bedroom for RENT at a Townhouse w/ Amazing View
https://sfbay.craigslist.org/sfc/roo/6175454192.html,pacific heights,Roomate needed: Beautiful sunny room available in Pac Height
https://sfbay.craigslist.org/sfc/roo/6175493840.html,castro / upper market,Big Furnished Room Castro Neighborhood
https://sfbay.craigslist.org/sfc/roo/6175455974.html,inner sunset / UCSF,Furnished Room Avail w/Ocean View
https://sfbay.craigslist.org/sfc/roo/6175497522.html,inner richmond,Room for rent - Available Now!!!
https://sfbay.craigslist.org/sfc/roo/6175473903.html,castro / upper market,Room Available in Duboce Triangle!
https://sfbay.craigslist.org/sfc/roo/6175492169.html,hayes valley,"Large room in Hayes Valley Victorian - great roommates, near shops!"
https://sfbay.craigslist.org/sfc/roo/6164130000.html,haight ashbury,"Spacious, creative, loving home seeks you!"
https://sfbay.craigslist.org/sfc/roo/6175480581.html,pacific heights,New roomie needed in 2 bedroom spacious apartment
https://sfbay.craigslist.org/sfc/roo/6171143523.html,mission district,"Room Available in Valencia St Flat w/Full Kitchen, Deck"
https://sfbay.craigslist.org/sfc/roo/6175364477.html,pacific heights,Sunny 1 BDM Apartment - fully furnished
https://sfbay.craigslist.org/sfc/roo/6154708848.html,castro / upper market,"Unique modern luxury unit, rooftop terrace, large rooms"
https://sfbay.craigslist.org/sfc/roo/6175388346.html,sunset / parkside,Room for Rent in Outer Sunset House**No couples please
https://sfbay.craigslist.org/sfc/roo/6175468725.html,hayes valley,"1 BDR in Hayes Valley for rent GREAT VIEW, 1 LARGE DOG $1000/mo"
https://sfbay.craigslist.org/sfc/roo/6163828256.html,lower haight,Great apt centrally located!
https://sfbay.craigslist.org/sfc/roo/6163821926.html,castro / upper market,Master Bedroom in Large centrally located
https://sfbay.craigslist.org/sfc/roo/6161789556.html,sunset / parkside,Sunset apartment
https://sfbay.craigslist.org/sfc/roo/6175365827.html,glen park,"furnished 1bedroom apt,patio-hw floors,granite,BART-MUNI"
https://sfbay.craigslist.org/sfc/roo/6175434270.html,sunset / parkside,"Furnished Room at Sunset, Clean, Quiet, Great Location"
https://sfbay.craigslist.org/sfc/roo/6155164804.html,Sunset,Summer Sublet with deck and backyard
https://sfbay.craigslist.org/sfc/roo/6175449283.html,SOMA / south beach,Beautiful Bedroom in SOMA Loft
https://sfbay.craigslist.org/sfc/roo/6175364996.html,excelsior / outer mission,"Cute,Small studio apartment. Avail Summer"
https://sfbay.craigslist.org/sfc/roo/6175450680.html,twin peaks / diamond hts,AFFORDABLE PRIVATE ROOM IN AN AMAZING BRAND NEW HOUSE
https://sfbay.craigslist.org/sfc/roo/6156673602.html,north beach / telegraph hill,Big room in cute north beach apartment available June 15
https://sfbay.craigslist.org/sfc/roo/6165490477.html,SOMA / south beach,Beautiful Bedroom in SOMA Loft Apartment
https://sfbay.craigslist.org/sfc/roo/6151091203.html,SOMA / south beach,Luxury 2BR2BA share in Soma- incredible building and views!
